,Unnamed: 0,Unnamed: 0.1,L_box,minPts_box,c_id,source_id,l,b,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmdec,pmra_error,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Nclusters
71294,71294,71294,10,10,1356,253530854331982464,158.6857667673414,-1.661139887738844,68.74246461602739,45.13204727947843,0.105802126,0.07383862,0.253864569133627,0.12221549,0.8744640806270247,-1.9720657336070515,0.1460215,0.12310114,,,17.885645,18.637701,17.039679,47
71295,71295,71295,10,10,1356,253531850764423168,158.65546243936222,-1.6629264706383189,68.7115707126247,45.15316434706534,0.08613296,0.062172506,0.3963576363819144,0.10168551,0.9769112601721804,-1.800966714754988,0.12102337,0.110598475,,,17.565110999999998,18.348333,16.70854,47
71296,71296,71296,10,10,1356,253532778477417856,158.70462178337718,-1.5349065344058916,68.89260329991443,45.2033583554824,0.084489614,0.06144508,0.244842029804422,0.0985521,0.7412041754579128,-2.0358411129573915,0.120100014,0.10789627,,,17.50879,18.292782,16.627615,47
71297,71297,71297,10,10,1356,253532817137947904,158.69006188582873,-1.5825073458783754,68.82881314837704,45.18198633874939,0.037007824,0.02376423,0.2316727098648582,0.042285718,0.7500715034307354,-1.9698410209556312,0.051485885,0.041292075,,,15.920797,17.139368,14.832749,47
71298,71298,71298,10,10,1356,253533122074758528,158.66879869051024,-1.6288578670911005,68.75995867327515,45.16636321140084,0.09051324,0.059813213,0.3386245513179156,0.10324283,0.9680366441848196,-1.9208850396272577,0.12361621,0.102579474,,,17.565895,18.409569,16.69163,47
71299,71299,71299,10,10,1356,253533160735344640,158.65841014832648,-1.6356929787459171,68.74285972541061,45.16940009509506,0.050177537,0.0353793,0.2297112407700045,0.059431277,1.0108766562585172,-2.085753052168996,0.0701675859999999,0.0614466,,,16.604654,17.213326000000002,15.841065,47
71300,71300,71300,10,10,1356,253533160735345408,158.66203167219945,-1.635929660406686,68.74608195600418,45.1665716994758,0.03730544,0.024047527,0.2779557732129919,0.043114815,0.8557008410372862,-2.145651328202854,0.05069454,0.041834235,,,15.944671,16.487182999999998,15.226088,47
71301,71301,71301,10,10,1356,253533190794254208,158.6581874830462,-1.6166567150573163,68.76255406462577,45.18242646174889,0.06078477,0.039747946,0.3539006660654833,0.07073161,1.020783971030398,-2.1033093534599656,0.08430037,0.07017925,,,17.009211999999998,17.693542,16.19791,47
71302,71302,71302,10,10,1356,253533259513748864,158.6719801521885,-1.580288346935092,68.81382366518555,45.19681956087704,0.07091018,0.044559643,0.4042875915170827,0.07915322,1.0012853585575394,-2.0076797647904296,0.10357863,0.07602955,,,17.111470999999998,17.785185000000006,16.316156,47
71303,71303,71303,10,10,1356,253533332534020992,158.6582457142251,-1.5828139324626431,68.7980240603293,45.20524166086786,0.05196382,0.030828916,0.3521114382764463,0.05740396,1.0307507919972108,-2.002047026309925,0.07272279,0.05406284,,,16.480620000000002,17.049213,15.74453,47
71304,71304,71304,10,10,1356,253533366893771776,158.64809974513608,-1.6228796290459535,68.74637890613482,45.18565575450618,0.020995714,0.012956812,0.2757793350306257,0.024052668,0.9688031415059182,-1.9800118255215613,0.027424127,0.022722889,,,14.626159,15.158129,13.916587,47
71305,71305,71305,10,10,1356,253533573052189824,158.64130845478496,-1.5871711923201306,68.77723265210143,45.21478525332685,0.037428036,0.023593301,0.3226920064968681,0.043330807,0.870518547639154,-1.937220545339165,0.054767128,0.04065217,,,15.919803,16.572962,15.113454999999998,47
71306,71306,71306,10,10,1356,253533671830628736,158.67267884046072,-1.5549434840357608,68.84103407038745,45.21341164942852,0.068935364,0.04653369,0.4183316914099772,0.07857626,0.984898173423388,-2.113729850632424,0.09490312,0.07577908,,,17.079391,17.764746,16.260899,47
71307,71307,71307,10,10,1356,253533710485881856,158.660752772387,-1.556395798010483,68.82809030058824,45.22122832193332,0.10128607,0.06886416,0.3658473022447226,0.11512817,0.9565938879482928,-1.8288773075831,0.1474064,0.11860037,,,17.875764999999994,18.72348,16.95819,47
71308,71308,71308,10,10,1356,253533985369038464,158.6320259580179,-1.5583000675591565,68.79856694162545,45.24112679060836,0.0793751999999999,0.053712625,0.3307328334405127,0.09337085,0.9837255016746472,-2.154152379615933,0.11280094,0.09465256,,,17.480202,18.248466,16.60657,47
71309,71309,71309,10,10,1356,253534088448242944,158.64617358381977,-1.5082614941087662,68.8645728918167,45.26446561618758,0.026661662,0.018322635,0.3350514403346324,0.032483846,1.00379406722216,-2.0897432154333058,0.03734058,0.031961467,,,15.443105,16.001955,14.7126875,47
71310,71310,71310,10,10,1356,253535050520958592,158.60925495766358,-1.6552762245752417,68.67526064800296,45.192364257334994,0.040359933,0.025487352,0.3359724382152076,0.048440054,0.857426896532645,-2.0242058652712926,0.052940745,0.04141082,,,16.212479000000002,16.778101,15.478948999999998,47
71311,71311,71311,10,10,1356,253535252378630784,158.58795872636662,-1.6100112250607033,68.70215845264643,45.23865741997254,0.08452338,0.05153881,0.4096809276619639,0.09974461,0.9365071026919648,-2.048339951261952,0.12006816,0.09080666,,,17.437479999999994,18.179958,16.586384,47
71312,71312,71312,10,10,1356,253535462837833728,158.58723284661087,-1.6898532277503855,68.61800250999931,45.18517512199657,0.019027876,0.011594597,0.3080311880344962,0.023335602,1.0661287355324796,-1.8927449820451,0.025608964,0.019400911,,,14.561424,14.998264,13.93538,47
