# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Feb 23 17:37:02 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=2.14, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 8.47000 0.3297478855 2.0089182854    0.330 -1.972  3.5103  4.922    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.15e-16      0.00 7.107e-01 2.746e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.701 12.061 14.175 10.716
0.01471 0.00000 8.47000 0.3500000238 2.0434176922    0.350 -1.914  3.5145  4.906    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.19e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.556 11.890 13.959 10.554
0.01471 0.00000 8.47000 0.4000000358 2.1185026169    0.400 -1.767  3.5264  4.864    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.187 11.453 13.405 10.142
0.01471 0.00000 8.47000 0.4500000179 2.1822810173    0.450 -1.614  3.5395  4.815    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.805 11.005 12.844 9.720
0.01471 0.00000 8.47000 0.5000000000 2.2374541759    0.500 -1.461  3.5548  4.769    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.55e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.422 10.551 12.270 9.297
0.01471 0.00000 8.47000 0.5359924436 2.2717115879    0.536 -1.355  3.5668  4.741    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-15      0.00 7.110e-01 2.742e-01 2.651e-03 7.154e-04 6.488e-03 -1.000 1.475e-02 8.158 10.232 11.860 9.003
0.01471 0.00000 8.47000 0.5500000119 2.2836582661    0.550 -1.311  3.5722  4.730    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.57e-15      0.00 7.113e-01 2.740e-01 2.649e-03 7.148e-04 6.483e-03 -1.000 1.473e-02 8.049 10.099 11.688 8.882
0.01471 0.00000 8.47000 0.5614333749 2.2929031849    0.561 -1.274  3.5776  4.723    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-15      0.00 7.113e-01 2.740e-01 2.649e-03 7.148e-04 6.482e-03 -1.000 1.472e-02 7.954 9.980 11.531 8.775
0.01471 0.00000 8.47000 0.6000000238 2.3211214542    0.600 -1.151  3.5953  4.700    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.13e-15      0.00 7.114e-01 2.739e-01 2.649e-03 7.146e-04 6.481e-03 -1.000 1.468e-02 7.647 9.606 11.046 8.437
0.01471 0.00000 8.47000 0.6499999762 2.3520355225    0.650 -0.993  3.6214  4.681    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.24e-15      0.00 7.115e-01 2.738e-01 2.648e-03 7.144e-04 6.479e-03 -1.000 1.475e-02 7.252 9.122 10.421 8.003
0.01471 0.00000 8.47000 0.6717066169 2.3638203144    0.672 -0.925  3.6333  4.676    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.38e-15      0.00 7.115e-01 2.737e-01 2.647e-03 7.142e-04 6.478e-03 -1.000 1.474e-02 7.083 8.914 10.149 7.818
0.01471 0.00000 8.47000 0.7000000477 2.3779268265    0.700 -0.840  3.6484  4.669    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-14      0.00 7.116e-01 2.737e-01 2.647e-03 7.141e-04 6.477e-03 -1.000 1.474e-02 6.871 8.652 9.808 7.587
0.01471 0.00000 8.47000 0.7272168994 2.3903121948    0.727 -0.760  3.6626  4.662    0  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-14      0.00 7.119e-01 2.733e-01 2.625e-03 7.129e-04 6.471e-03 -1.000 1.475e-02 6.669 8.406 9.496 7.369
0.01471 0.00000 8.47000 0.7500000000 2.3998889923    0.750 -0.695  3.6754  4.662    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-14      0.00 7.117e-01 2.735e-01 2.611e-03 7.130e-04 6.476e-03 -1.000 1.474e-02 6.509 8.212 9.251 7.197
0.01471 0.00000 8.47000 0.8000000119 2.4187245369    0.800 -0.566  3.6954  4.641    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-14      0.00 7.118e-01 2.734e-01 2.610e-03 7.127e-04 6.473e-03 -1.000 1.473e-02 6.185 7.849 8.820 6.866
0.01471 0.00000 8.47000 0.8500000238 2.4350347519    0.850 -0.444  3.7142  4.620    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.121e-01 2.733e-01 2.608e-03 7.123e-04 6.470e-03 -1.000 1.465e-02 5.879 7.516 8.434 6.562
0.01471 0.00000 8.47000 0.8999999762 2.4492788315    0.899 -0.328  3.7313  4.597    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.13e-14      0.00 7.122e-01 2.731e-01 2.607e-03 7.119e-04 6.466e-03 -1.000 1.471e-02 5.590 7.213 8.087 6.281
0.01471 0.00000 8.47000 0.9499999881 2.4618122578    0.950 -0.217  3.7464  4.571    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-14      0.00 7.125e-01 2.728e-01 2.605e-03 7.113e-04 6.461e-03 -1.000 1.469e-02 5.313 6.932 7.767 6.022
0.01471 0.00000 8.47000 1.0000000000 2.4729156494    1.000 -0.109  3.7604  4.540    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.24e-14      0.00 7.129e-01 2.724e-01 2.602e-03 7.105e-04 6.453e-03 -1.000 1.467e-02 5.041 6.665 7.466 5.774
0.01471 0.00000 8.47000 1.0499999523 2.4828116894    1.050 -0.005  3.7730  4.508    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.26e-14      0.00 7.135e-01 2.719e-01 2.597e-03 7.093e-04 6.443e-03 -1.000 1.461e-02 4.783 6.415 7.186 5.542
0.01471 0.00000 8.47000 1.1000000238 2.4916803837    1.099  0.094  3.7845  4.475    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.36e-14      0.00 7.143e-01 2.711e-01 2.590e-03 7.074e-04 6.426e-03 -1.000 1.462e-02 4.535 6.179 6.922 5.323
0.01471 0.00000 8.47000 1.1066337824 2.4927878380    1.106  0.107  3.7859  4.471    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.51e-14      0.00 7.145e-01 2.709e-01 2.589e-03 7.071e-04 6.423e-03 -1.000 1.461e-02 4.503 6.148 6.889 5.294
